"","SVM_LABEL","SVM_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","TREE_LABEL","TREE_PROB","CONSENSUS_CODE","CONSENSUS_AGREE","PROBABILITY_CODE"
"25368","2",0.850351686723045,"2",0.998343859751085,"2",0.982013790037908,"2",1,"2",0.995,"2",0.9,2,6,2
"25369","3",0.776037104452972,"3",0.995837609858654,"3",0.5,"3",1,"3",0.915,"3",0.873015873015873,3,6,3
"25370","3",0.509789035791282,"3",0.982354565082796,"3",0.5,"3",0.88,"3",0.88,"3",0.873015873015873,3,6,3
"25371","2",0.847852442143982,"2",0.99697281899201,"2",0.982013790037908,"2",0.84,"2",0.84,"2",0.9,2,6,2
"25372","2",0.963582550859356,"2",0.999472221908782,"2",0.997527376843365,"2",1,"2",0.915,"2",0.9,2,6,2
"25373","2",0.931428297211947,"2",0.998958165508035,"2",0.982013790037908,"2",1,"2",0.995,"2",0.9,2,6,2
"25374","2",0.871466625030209,"2",0.992293737351725,"2",0.880797077977882,"2",0.84,"2",0.92,"2",0.567567567567568,2,6,2
"25375","2",0.946288102073706,"2",0.997223697865094,"2",0.982013790037908,"2",1,"2",1,"2",0.9,2,6,2
"25376","2",0.888502201982573,"2",0.996456732961243,"2",0.982013790037908,"2",1,"2",1,"2",0.9,2,6,2
"25377","2",0.964651692357429,"2",0.997984041424009,"2",0.982013790037908,"2",1,"2",1,"2",0.9,2,6,2
"25378","2",0.92116503993006,"2",0.999397039375834,"2",0.982013790037908,"2",1,"2",0.985,"2",0.9,2,6,2
"25379","2",0.805112079738755,"2",0.997148255691262,"2",0.880797077977882,"2",1,"2",0.955,"2",0.9,2,6,2
"25380","2",0.862011932156239,"2",0.997238941522483,"2",0.999664649869534,"2",0.92,"2",0.91,"2",0.9,2,6,2
"25381","2",0.90786055539935,"2",0.998823147385741,"2",0.997527376843365,"2",1,"2",0.995,"2",0.9,2,6,2
"25382","2",0.86174231568342,"2",0.984669179853012,"2",0.982013790037908,"2",0.88,"2",0.845,"2",0.9,2,6,2
"25383","2",0.966462320714148,"2",0.999860938758114,"2",0.997527376843365,"2",1,"2",0.99,"2",0.9,2,6,2
"25384","2",0.91181454790371,"2",0.999065466666855,"2",0.997527376843365,"2",1,"2",0.995,"2",0.9,2,6,2
"25385","2",0.962993884418702,"2",0.999837936108616,"2",0.997527376843365,"2",1,"2",0.95,"2",0.9,2,6,2
"25386","2",0.956294831861824,"2",0.999892466322684,"2",0.997527376843365,"2",1,"2",0.97,"2",0.9,2,6,2
"25387","2",0.769545327657044,"2",0.881421357411527,"2",0.982013790037908,"2",0.76,"2",0.695,"2",0.9,2,6,2
"25388","2",0.957851992718997,"2",0.999832677575691,"2",0.997527376843365,"2",1,"2",0.99,"2",0.9,2,6,2
"25389","2",0.93218915828271,"2",0.998849045941392,"2",0.997527376843365,"2",1,"2",1,"2",0.9,2,6,2
"25390","2",0.881891657454988,"2",0.998430414124256,"2",0.997527376843365,"2",1,"2",1,"2",0.9,2,6,2
"25391","2",0.810104230037803,"2",0.968699509372235,"2",0.880797077977882,"2",0.92,"2",0.915,"2",0.567567567567568,2,6,2
"25392","2",0.857032103167878,"2",0.988425633047082,"2",0.982013790037908,"2",1,"2",1,"2",0.9,2,6,2
"25393","2",0.874010627446579,"2",0.993042314698557,"2",0.982013790037908,"2",1,"2",1,"2",0.9,2,6,2
"25394","2",0.818222261047576,"2",0.993724977170847,"2",0.880797077977882,"2",1,"2",0.96,"2",0.9,2,6,2
"25395","2",0.860963403839997,"2",0.989251592311256,"2",0.880797077977882,"2",1,"2",0.96,"2",0.9,2,6,2
"25396","2",0.869056308492648,"2",0.991437014826997,"2",0.880797077977882,"2",0.96,"2",0.93,"2",0.9,2,6,2
"25397","2",0.967838484192043,"2",0.998701540313983,"2",0.982013790037908,"2",0.96,"2",0.965,"2",0.9,2,6,2
"25398","3",0.890783785199057,"3",0.993905061972461,"3",0.880797077977882,"3",1,"3",0.87,"3",0.873015873015873,3,6,3
"25399","2",0.813819857832316,"2",0.991832244850871,"2",0.982013790037908,"2",1,"2",0.91,"2",0.9,2,6,2
"25400","3",0.523616472194644,"3",0.815339864488449,"3",0.5,"4",0.88,"4",0.52,"3",0.533333333333333,3,4,4
"25401","2",0.852409198745902,"2",0.994024663148673,"2",0.982013790037908,"2",1,"2",0.915,"2",0.9,2,6,2
"25402","3",0.858653955609506,"3",0.99804178168127,"3",0.880797077977882,"3",1,"3",0.815,"3",0.873015873015873,3,6,3
"25403","2",0.942549604886505,"2",0.998264724595272,"2",0.997527376843365,"2",1,"2",0.955,"2",0.9,2,6,2
"25404","2",0.799682283931384,"2",0.991822280513203,"2",0.997527376843365,"2",1,"2",0.91,"2",0.9,2,6,2
"25405","2",0.923341298597766,"2",0.998395907306575,"2",0.997527376843365,"2",1,"2",0.97,"2",0.9,2,6,2
"25406","3",0.90825156863338,"3",0.993582476905018,"3",0.982013790037908,"3",0.96,"3",0.755,"3",0.873015873015873,3,6,3
"25407","2",0.918397805500171,"2",0.998015451723112,"2",0.997527376843365,"2",1,"2",1,"2",0.9,2,6,2
"25408","2",0.939197184340771,"2",0.998925234960701,"2",0.997527376843365,"2",0.96,"2",0.95,"2",0.9,2,6,2
"25409","2",0.896684817182394,"2",0.997302085377975,"2",0.982013790037908,"2",1,"2",0.965,"2",0.9,2,6,2
"25410","2",0.572881889977526,"2",0.963072106470902,"2",0.982013790037908,"2",0.56,"2",0.525,"2",0.551020408163265,2,6,2
"25411","3",0.682099994482546,"3",0.96970687062715,"3",0.880797077977882,"3",0.96,"3",0.875,"3",0.873015873015873,3,6,3
"25412","2",0.880441920420937,"2",0.98845718365001,"2",0.982013790037908,"2",0.88,"2",0.775,"2",0.551020408163265,2,6,2
"25413","2",0.900208103622089,"2",0.992148337870519,"2",0.997527376843365,"2",0.96,"2",0.935,"2",0.9,2,6,2
"25414","2",0.836288371653263,"2",0.960662893686135,"2",0.997527376843365,"2",0.92,"2",0.765,"2",0.9,2,6,2
"25415","2",0.861714518978869,"2",0.996835231378823,"2",0.997527376843365,"2",0.56,"2",0.9,"2",0.9,2,6,2
"25416","3",0.584288154323865,"3",0.926911112459079,"3",0.880797077977882,"3",0.88,"3",0.725,"3",0.873015873015873,3,6,3
"25417","3",0.86332391865817,"3",0.99619636640856,"3",0.880797077977882,"3",1,"3",0.875,"3",0.873015873015873,3,6,3
"25418","2",0.932330387830929,"2",0.999035625015042,"2",0.997527376843365,"2",1,"2",0.97,"2",0.9,2,6,2
"25419","3",0.639701283907598,"3",0.994036942494962,"3",0.5,"3",0.88,"3",0.645,"3",0.873015873015873,3,6,3
"25420","2",0.914378070338263,"2",0.985194757839663,"2",0.982013790037908,"2",0.92,"2",0.685,"2",0.9,2,6,2
"25421","3",0.794562043520556,"3",0.974324343522731,"3",0.880797077977882,"3",0.84,"3",0.845,"3",0.873015873015873,3,6,3
